fecha,presion
2024-09-13 00:00:01.984096,1
2024-09-13 00:00:26.899788,0
2024-09-13 00:00:51.966552,0
2024-09-13 00:01:16.937053,0
2024-09-13 00:01:41.995446,0
2024-09-13 00:02:07.074656,1
2024-09-13 00:02:32.046412,0
2024-09-13 00:02:57.117171,0
2024-09-13 00:03:22.220760,0
2024-09-13 00:03:47.171951,0
2024-09-13 00:04:12.211809,1
2024-09-13 00:04:37.275873,1
2024-09-13 00:05:02.303521,0
2024-09-13 00:05:27.293307,0
2024-09-13 00:05:52.377659,0
2024-09-13 00:06:17.328381,0
2024-09-13 00:06:42.417726,0
2024-09-13 00:07:07.367637,0
2024-09-13 00:07:37.463337,1
2024-09-13 00:07:57.506126,0
2024-09-13 00:08:22.468692,0
2024-09-13 00:08:47.531977,0
2024-09-13 00:09:12.698782,0
2024-09-13 00:09:37.579006,0
2024-09-13 00:10:02.652148,1
2024-09-13 00:10:27.700083,1
2024-09-13 00:10:52.668984,0
2024-09-13 00:11:17.726100,1
2024-09-13 00:11:48.252738,0
2024-09-13 00:12:07.777807,0
2024-09-13 00:12:32.890148,0
2024-09-13 00:12:57.821348,0
2024-09-13 00:13:22.893790,0
2024-09-13 00:13:47.879335,0
2024-09-13 00:14:12.931339,0
2024-09-13 00:14:37.909828,0
2024-09-13 00:15:02.989824,0
2024-09-13 00:15:28.030763,1
2024-09-13 00:15:53.003499,0
2024-09-13 00:16:18.061284,0
2024-09-13 00:16:43.155849,0
2024-09-13 00:17:08.102328,0
2024-09-13 00:17:33.163120,0
2024-09-13 00:17:58.145336,0
2024-09-13 00:18:23.196885,1
2024-09-13 00:18:48.271526,1
2024-09-13 00:19:13.235445,1
2024-09-13 00:19:38.299414,0
2024-09-13 00:20:03.402257,0
2024-09-13 00:20:28.334380,0
2024-09-13 00:20:53.419820,0
2024-09-13 00:21:18.375781,0
2024-09-13 00:21:43.549737,1
2024-09-13 00:22:08.599677,0
2024-09-13 00:22:33.491366,0
2024-09-13 00:22:58.555836,1
2024-09-13 00:23:23.531182,0
2024-09-13 00:23:48.604469,0
2024-09-13 00:24:13.662931,0
2024-09-13 00:24:38.635294,0
2024-09-13 00:25:03.900483,0
2024-09-13 00:25:28.779202,1
2024-09-13 00:25:53.749167,0
2024-09-13 00:26:18.845661,0
2024-09-13 00:26:43.871481,0
2024-09-13 00:27:08.834402,1
2024-09-13 00:27:33.917271,1
2024-09-13 00:27:58.864124,0
2024-09-13 00:28:23.937136,0
2024-09-13 00:28:48.997734,0
2024-09-13 00:29:13.988213,0
2024-09-13 00:29:39.037344,0
2024-09-13 00:30:04.023882,0
2024-09-13 00:30:29.082663,0
2024-09-13 00:30:54.153659,0
2024-09-13 00:31:19.115011,0
2024-09-13 00:31:44.177154,1
2024-09-13 00:32:09.256015,0
2024-09-13 00:32:34.229817,0
2024-09-13 00:32:59.303925,0
2024-09-13 00:33:24.251476,0
2024-09-13 00:33:49.323296,0
2024-09-13 00:34:14.300170,0
2024-09-13 00:34:39.371132,0
2024-09-13 00:35:04.338081,0
2024-09-13 00:35:29.399463,0
2024-09-13 00:35:54.467963,1
2024-09-13 00:36:19.431378,0
2024-09-13 00:36:44.495452,0
2024-09-13 00:37:09.483763,0
2024-09-13 00:37:34.528625,0
2024-09-13 00:37:59.598529,0
2024-09-13 00:38:24.570653,0
2024-09-13 00:38:49.644055,0
2024-09-13 00:39:14.606838,0
2024-09-13 00:39:39.663673,0
2024-09-13 00:40:04.654575,0
2024-09-13 00:40:29.718230,0
2024-09-13 00:40:54.795257,0
2024-09-13 00:41:19.749700,0
2024-09-13 00:41:44.810312,0
2024-09-13 00:42:11.900510,0
2024-09-13 00:42:34.846044,0
2024-09-13 00:42:59.914388,0
2024-09-13 00:43:24.879693,0
2024-09-13 00:43:49.951441,0
2024-09-13 00:44:14.919045,0
2024-09-13 00:44:39.982461,0
2024-09-13 00:45:05.134338,0
2024-09-13 00:45:30.020532,0
2024-09-13 00:45:55.088982,0
2024-09-13 00:46:20.186132,0
2024-09-13 00:46:45.130888,0
2024-09-13 00:47:10.197898,0
2024-09-13 00:47:35.178587,0
2024-09-13 00:48:00.232492,0
2024-09-13 00:48:25.319045,0
2024-09-13 00:48:50.278782,0
2024-09-13 00:49:15.342800,0
2024-09-13 00:49:40.343741,0
2024-09-13 00:50:05.373837,0
2024-09-13 00:50:30.438594,0
2024-09-13 00:50:55.402641,0
2024-09-13 00:51:20.481080,0
2024-09-13 00:51:45.558255,0
2024-09-13 00:52:10.524364,0
2024-09-13 00:52:35.577159,0
2024-09-13 00:53:00.662782,0
2024-09-13 00:53:25.615683,0
2024-09-13 00:53:50.683255,0
2024-09-13 00:54:15.646598,0
2024-09-13 00:54:40.715270,0
2024-09-13 00:55:05.792218,0
2024-09-13 00:55:30.759405,0
2024-09-13 00:55:55.833671,0
2024-09-13 00:56:20.794809,0
2024-09-13 00:56:45.865302,0
2024-09-13 00:57:10.934123,0
2024-09-13 00:57:35.906118,0
2024-09-13 00:58:00.957286,0
2024-09-13 00:58:26.027816,0
2024-09-13 00:58:50.992578,0
2024-09-13 00:59:16.132952,0
2024-09-13 00:59:41.111510,1
2024-09-13 01:00:06.102092,0
2024-09-13 01:00:31.139456,0
2024-09-13 01:00:56.209109,0
2024-09-13 01:01:21.184905,0
2024-09-13 01:01:46.248336,0
2024-09-13 01:02:11.242208,0
2024-09-13 01:02:36.294326,0
2024-09-13 01:03:01.366899,0
2024-09-13 01:03:26.323813,0
2024-09-13 01:03:51.396940,0
2024-09-13 01:04:16.460477,1
2024-09-13 01:04:41.498702,0
2024-09-13 01:05:06.497110,0
2024-09-13 01:05:31.565876,0
